nom_regional,nom_municipio,data_ocorrencia,casos,obitos
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-05-22,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-01,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-06,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-08,7,0
GRANDE OESTE,ABELARDO LUZ,2020-05-06,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-11,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-18,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-26,2,0
GRANDE OESTE,ABELARDO LUZ,2020-05-28,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-01,2,0
GRANDE OESTE,ABELARDO LUZ,2020-06-04,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-08,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-09,1,1
GRANDE OESTE,ABELARDO LUZ,2020-06-14,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-17,2,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-05-19,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-05-26,3,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-05-27,5,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-06,1,1
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-07,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-13,0,1
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-12,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-16,1,1
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-18,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-19,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-20,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-22,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-23,0,1
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-25,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-06-05,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-06-09,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-04-30,2,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-04,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-11,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-12,2,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-21,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-06-01,2,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-06-08,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-04-23,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-04-27,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-04-29,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-04,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-11,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-15,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-19,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-26,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-06-01,2,0
GRANDE OESTE,AGUAS DE CHAPECO,IGNORADO,13,0
GRANDE OESTE,AGUAS FRIAS,2020-05-20,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-03-31,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-05-05,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-09,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-12,1,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-06-12,1,0
MEIO OESTE E SERRA CATARINENSE,ALTO BELA VISTA,2020-04-28,2,0
MEIO OESTE E SERRA CATARINENSE,ALTO BELA VISTA,2020-05-14,1,0
MEIO OESTE E SERRA CATARINENSE,ALTO BELA VISTA,2020-05-19,1,0
MEIO OESTE E SERRA CATARINENSE,ALTO BELA VISTA,2020-05-21,1,0
MEIO OESTE E SERRA CATARINENSE,ALTO BELA VISTA,2020-06-08,1,0
GRANDE OESTE,ANCHIETA,2020-05-12,2,0
GRANDE OESTE,ANCHIETA,2020-05-13,1,0
GRANDE OESTE,ANCHIETA,2020-05-15,1,0
GRANDE OESTE,ANCHIETA,2020-05-25,2,0
GRANDE OESTE,ANCHIETA,2020-05-26,1,0
GRANDE OESTE,ANCHIETA,2020-06-01,1,0
GRANDE OESTE,ANCHIETA,2020-06-10,1,0
MEIO OESTE E SERRA CATARINENSE,ANITA GARIBALDI,2020-03-23,1,0
MEIO OESTE E SERRA CATARINENSE,ANITA GARIBALDI,2020-05-27,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-03-25,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-03-26,10,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-04-02,0,1
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-04-08,1,1
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-04-10,0,1
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-04-25,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-05-02,0,1
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-05-04,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-05-24,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-05-25,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-05-26,2,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-05-27,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-05-29,2,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-06-02,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-06-04,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-06-07,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-06-08,2,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-06-09,2,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,2020-06-11,1,0
GRANDE FLORIANOPOLIS,ANTONIO CARLOS,IGNORADO,5,0
ALTO VALE DO ITAJAI,APIUNA,2020-05-27,1,0
ALTO VALE DO ITAJAI,APIUNA,2020-06-15,2,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-13,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-14,2,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-17,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-19,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-23,2,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-24,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-25,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-26,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-27,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-28,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-04-30,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-01,2,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-03,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-04,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-05,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-06,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-09,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-12,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-14,2,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-18,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-19,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-22,2,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-26,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-05-27,1,0
MEIO OESTE E SERRA CATARINENSE,ARABUTA,2020-06-03,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-04-26,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-04-29,2,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-04-30,2,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-04,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-06,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-11,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-12,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-18,4,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-19,4,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-22,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-25,3,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-26,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-27,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-05-28,2,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-01,2,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-02,2,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-03,2,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-04,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-07,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-08,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-09,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-10,4,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-12,0,1
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-15,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,2020-06-16,1,0
PLANALTO NORTE E NORDESTE,ARAQUARI,IGNORADO,9,0
SUL,ARARANGUA,2020-03-27,1,0
SUL,ARARANGUA,2020-03-29,1,0
SUL,ARARANGUA,2020-04-03,1,0
SUL,ARARANGUA,2020-04-04,1,0
SUL,ARARANGUA,2020-04-16,1,0
SUL,ARARANGUA,2020-04-20,1,0
SUL,ARARANGUA,2020-04-22,1,0
SUL,ARARANGUA,2020-04-24,1,0
SUL,ARARANGUA,2020-05-08,1,0
SUL,ARARANGUA,2020-05-09,1,0
SUL,ARARANGUA,2020-05-10,2,1
SUL,ARARANGUA,2020-05-11,9,0
SUL,ARARANGUA,2020-05-13,1,0
SUL,ARARANGUA,2020-05-14,3,0
SUL,ARARANGUA,2020-05-15,5,0
SUL,ARARANGUA,2020-05-16,3,0
SUL,ARARANGUA,2020-05-17,1,0
SUL,ARARANGUA,2020-05-18,3,0
SUL,ARARANGUA,2020-05-19,5,0
SUL,ARARANGUA,2020-05-21,3,0
SUL,ARARANGUA,2020-05-22,7,0
SUL,ARARANGUA,2020-05-23,3,0
SUL,ARARANGUA,2020-05-24,2,1
SUL,ARARANGUA,2020-05-25,2,0
SUL,ARARANGUA,2020-05-26,3,0
SUL,ARARANGUA,2020-05-27,4,0
SUL,ARARANGUA,2020-05-28,1,0
SUL,ARARANGUA,2020-05-29,1,0
SUL,ARARANGUA,2020-05-30,2,0
SUL,ARARANGUA,2020-05-31,3,0
SUL,ARARANGUA,2020-06-01,2,0
SUL,ARARANGUA,2020-06-02,1,0
SUL,ARARANGUA,2020-06-03,3,0
SUL,ARARANGUA,2020-06-04,1,0
SUL,ARARANGUA,2020-06-06,2,0
SUL,ARARANGUA,2020-06-08,1,0
SUL,ARARANGUA,2020-06-10,1,0
SUL,ARARANGUA,2020-06-11,2,0
SUL,ARARANGUA,2020-06-12,3,0
SUL,ARARANGUA,IGNORADO,1,0
SUL,ARMAZEM,2020-04-14,1,0
SUL,ARMAZEM,2020-04-16,2,0
SUL,ARMAZEM,2020-04-20,1,0
SUL,ARMAZEM,2020-04-21,1,0
SUL,ARMAZEM,2020-04-22,2,0
SUL,ARMAZEM,2020-04-23,1,0
SUL,ARMAZEM,2020-04-24,2,0
SUL,ARMAZEM,2020-04-27,1,0
SUL,ARMAZEM,2020-04-28,1,0
SUL,ARMAZEM,2020-04-30,5,0
SUL,ARMAZEM,2020-05-05,7,0
SUL,ARMAZEM,2020-05-19,1,0
SUL,ARMAZEM,2020-05-26,1,0
SUL,ARMAZEM,2020-06-04,1,0
SUL,ARMAZEM,2020-06-09,1,0
MEIO OESTE E SERRA CATARINENSE,ARROIO TRINTA,2020-06-02,2,0
MEIO OESTE E SERRA CATARINENSE,ARROIO TRINTA,2020-06-05,1,0
MEIO OESTE E SERRA CATARINENSE,ARROIO TRINTA,2020-06-10,1,0
MEIO OESTE E SERRA CATARINENSE,ARROIO TRINTA,2020-06-15,1,0
MEIO OESTE E SERRA CATARINENSE,ARROIO TRINTA,2020-06-16,1,0
GRANDE OESTE,ARVOREDO,2020-04-30,1,0
GRANDE OESTE,ARVOREDO,2020-05-07,1,0
GRANDE OESTE,ARVOREDO,2020-05-12,2,0
GRANDE OESTE,ARVOREDO,2020-05-15,1,0
GRANDE OESTE,ARVOREDO,2020-05-17,1,0
GRANDE OESTE,ARVOREDO,2020-05-25,0,1
GRANDE OESTE,ARVOREDO,2020-05-27,2,0
GRANDE OESTE,ARVOREDO,2020-05-29,2,0
GRANDE OESTE,ARVOREDO,2020-06-01,1,0
GRANDE OESTE,ARVOREDO,2020-06-02,2,0
GRANDE OESTE,ARVOREDO,2020-06-04,1,0
GRANDE OESTE,ARVOREDO,2020-06-16,2,0
GRANDE OESTE,ARVOREDO,IGNORADO,4,0
ALTO VALE DO ITAJAI,ASCURRA,2020-05-23,1,0
ALTO VALE DO ITAJAI,ASCURRA,2020-06-17,2,0
ALTO VALE DO ITAJAI,ATALANTA,2020-05-15,1,0
ALTO VALE DO ITAJAI,ATALANTA,2020-05-18,2,0
ALTO VALE DO ITAJAI,ATALANTA,2020-05-20,1,0
ALTO VALE DO ITAJAI,AURORA,2020-05-14,1,0
ALTO VALE DO ITAJAI,AURORA,2020-05-21,1,0
ALTO VALE DO ITAJAI,AURORA,2020-05-22,1,0
ALTO VALE DO ITAJAI,AURORA,2020-05-25,1,0
ALTO VALE DO ITAJAI,AURORA,2020-06-01,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-03-17,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-03-30,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-03-31,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-04-04,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-04-22,0,1
SUL,BALNEARIO ARROIO DO SILVA,2020-04-27,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-06,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-11,2,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-13,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-14,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-15,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-18,3,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-21,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-22,3,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-23,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-25,3,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-26,3,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-28,2,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-29,3,0
SUL,BALNEARIO ARROIO DO SILVA,2020-05-31,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-06-01,2,0
SUL,BALNEARIO ARROIO DO SILVA,2020-06-04,2,0
SUL,BALNEARIO ARROIO DO SILVA,2020-06-05,2,0
SUL,BALNEARIO ARROIO DO SILVA,2020-06-15,1,0
SUL,BALNEARIO ARROIO DO SILVA,2020-06-16,2,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-04-22,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-04-24,2,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-05-04,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-05-13,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-05-14,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-05-21,2,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-05-23,2,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-05-28,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-05-29,2,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-06-01,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-06-02,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-06-05,2,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,2020-06-16,1,0
PLANALTO NORTE E NORDESTE,BALNEARIO BARRA DO SUL,IGNORADO,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-13,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-15,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-16,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-18,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-19,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-24,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-25,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-26,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-27,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-30,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-03-31,9,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-01,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-02,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-03,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-04,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-05,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-06,6,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-07,6,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-08,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-09,4,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-10,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-13,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-14,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-15,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-16,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-17,2,1
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-19,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-20,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-21,0,1
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-22,7,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-23,6,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-24,6,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-25,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-26,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-27,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-28,5,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-29,4,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-04-30,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-01,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-02,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-03,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-04,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-05,11,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-06,12,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-07,13,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-08,13,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-09,7,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-10,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-11,5,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-12,10,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-13,13,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-14,9,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-15,9,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-16,9,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-17,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-18,16,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-19,8,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-20,17,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-21,12,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-22,27,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-23,8,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-24,4,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-25,18,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-26,19,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-27,43,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-28,26,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-29,9,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-30,3,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-05-31,6,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-01,33,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-02,14,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-03,33,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-04,16,1
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-05,28,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-06,9,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-07,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-08,24,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-09,27,1
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-10,28,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-11,6,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-12,28,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-13,13,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-14,1,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-15,46,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-16,27,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,2020-06-17,2,0
FOZ DO RIO ITAJAI,BALNEARIO CAMBORIU,IGNORADO,1,0
SUL,BALNEARIO GAIVOTA,2020-03-30,1,0
SUL,BALNEARIO GAIVOTA,2020-04-02,0,1
SUL,BALNEARIO GAIVOTA,2020-04-22,1,0
SUL,BALNEARIO GAIVOTA,2020-04-26,3,0
SUL,BALNEARIO GAIVOTA,2020-04-29,1,0
SUL,BALNEARIO GAIVOTA,2020-05-15,1,0
SUL,BALNEARIO GAIVOTA,2020-05-18,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-03-31,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-04-10,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-04-15,2,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-04-28,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-08,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-14,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-15,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-17,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-18,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-19,3,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-20,6,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-21,2,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-22,4,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-25,10,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-26,3,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-27,2,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-28,3,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-05-29,3,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-01,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-02,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-03,4,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-04,0,1
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-05,3,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-08,1,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-09,2,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-10,5,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-11,11,0
FOZ DO RIO ITAJAI,BALNEARIO PICARRAS,2020-06-12,1,0
