nom_regional,nom_municipio,data_ocorrencia,casos,obitos
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-05-22,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-01,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-06,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-08,7,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-10,7,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-17,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-22,4,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-23,6,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-24,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-25,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-29,3,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-06-30,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-02,4,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-06,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-07,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-09,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-13,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-14,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-17,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-20,9,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-21,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-22,5,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-23,1,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-24,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-27,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-28,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-29,3,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-30,2,0
MEIO OESTE E SERRA CATARINENSE,ABDON BATISTA,2020-07-31,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-06,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-11,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-14,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-15,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-18,1,0
GRANDE OESTE,ABELARDO LUZ,2020-05-26,2,0
GRANDE OESTE,ABELARDO LUZ,2020-05-28,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-01,3,0
GRANDE OESTE,ABELARDO LUZ,2020-06-03,2,0
GRANDE OESTE,ABELARDO LUZ,2020-06-04,2,0
GRANDE OESTE,ABELARDO LUZ,2020-06-05,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-06,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-09,1,1
GRANDE OESTE,ABELARDO LUZ,2020-06-13,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-14,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-15,3,0
GRANDE OESTE,ABELARDO LUZ,2020-06-16,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-17,2,0
GRANDE OESTE,ABELARDO LUZ,2020-06-18,4,0
GRANDE OESTE,ABELARDO LUZ,2020-06-22,3,0
GRANDE OESTE,ABELARDO LUZ,2020-06-23,2,0
GRANDE OESTE,ABELARDO LUZ,2020-06-24,3,0
GRANDE OESTE,ABELARDO LUZ,2020-06-25,4,0
GRANDE OESTE,ABELARDO LUZ,2020-06-26,4,0
GRANDE OESTE,ABELARDO LUZ,2020-06-27,1,0
GRANDE OESTE,ABELARDO LUZ,2020-06-29,2,0
GRANDE OESTE,ABELARDO LUZ,2020-06-30,1,0
GRANDE OESTE,ABELARDO LUZ,2020-07-01,1,0
GRANDE OESTE,ABELARDO LUZ,2020-07-02,3,0
GRANDE OESTE,ABELARDO LUZ,2020-07-03,2,0
GRANDE OESTE,ABELARDO LUZ,2020-07-04,1,1
GRANDE OESTE,ABELARDO LUZ,2020-07-05,1,0
GRANDE OESTE,ABELARDO LUZ,2020-07-06,11,1
GRANDE OESTE,ABELARDO LUZ,2020-07-07,5,0
GRANDE OESTE,ABELARDO LUZ,2020-07-08,6,0
GRANDE OESTE,ABELARDO LUZ,2020-07-09,5,0
GRANDE OESTE,ABELARDO LUZ,2020-07-10,1,0
GRANDE OESTE,ABELARDO LUZ,2020-07-13,3,0
GRANDE OESTE,ABELARDO LUZ,2020-07-14,3,0
GRANDE OESTE,ABELARDO LUZ,2020-07-15,2,0
GRANDE OESTE,ABELARDO LUZ,2020-07-17,2,0
GRANDE OESTE,ABELARDO LUZ,2020-07-20,6,0
GRANDE OESTE,ABELARDO LUZ,2020-07-21,6,0
GRANDE OESTE,ABELARDO LUZ,2020-07-22,2,0
GRANDE OESTE,ABELARDO LUZ,2020-07-23,1,0
GRANDE OESTE,ABELARDO LUZ,2020-07-24,3,0
GRANDE OESTE,ABELARDO LUZ,2020-07-27,1,0
GRANDE OESTE,ABELARDO LUZ,2020-07-29,1,0
GRANDE OESTE,ABELARDO LUZ,IGNORADO,2,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-05-19,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-05-26,3,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-05-27,5,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-05,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-06,1,1
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-09,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-13,0,1
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-22,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-25,2,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-26,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-06-30,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-01,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-02,3,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-03,6,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-06,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-07,3,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-08,3,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-09,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-13,4,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-14,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-15,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-16,7,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-17,2,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-20,5,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-22,1,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-23,2,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-24,7,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-27,4,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-28,3,0
ALTO VALE DO ITAJAI,AGROLANDIA,2020-07-31,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-12,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-16,1,1
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-18,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-19,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-20,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-22,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-23,0,1
ALTO VALE DO ITAJAI,AGRONOMICA,2020-05-25,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-06-05,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-06-09,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-06-19,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-06-29,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-06-30,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-07,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-10,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-13,5,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-16,3,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-17,4,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-20,5,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-21,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-22,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-23,3,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-24,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-28,2,0
ALTO VALE DO ITAJAI,AGRONOMICA,2020-07-30,1,0
ALTO VALE DO ITAJAI,AGRONOMICA,IGNORADO,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-04-30,2,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-04,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-11,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-12,2,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-05-21,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-06-01,2,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-06-08,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-06-16,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-06-29,9,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-06-30,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-07-01,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-07-02,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-07-09,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-07-14,1,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-07-17,2,0
MEIO OESTE E SERRA CATARINENSE,AGUA DOCE,2020-07-20,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-04-23,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-04-27,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-04-29,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-04,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-11,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-15,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-19,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-25,2,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-05-26,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-06-01,2,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-06-15,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-06-17,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-06-30,2,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-07-13,2,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-07-15,1,0
GRANDE OESTE,AGUAS DE CHAPECO,2020-07-22,1,0
GRANDE OESTE,AGUAS DE CHAPECO,IGNORADO,9,0
GRANDE OESTE,AGUAS FRIAS,2020-05-20,1,0
GRANDE OESTE,AGUAS FRIAS,2020-06-23,1,0
GRANDE OESTE,AGUAS FRIAS,2020-07-01,1,0
GRANDE OESTE,AGUAS FRIAS,2020-07-16,1,0
GRANDE OESTE,AGUAS FRIAS,2020-07-31,2,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-03-31,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-04-28,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-09,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-12,2,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-16,5,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-19,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-24,3,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-29,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-06-30,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-02,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-03,3,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-06,2,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-07,2,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-08,2,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-10,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-13,2,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-15,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-16,8,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-17,3,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-19,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-20,4,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-21,11,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-22,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-24,1,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-27,4,0
GRANDE FLORIANOPOLIS,AGUAS MORNAS,2020-07-29,2,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-06-12,1,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-06-18,1,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-06-24,2,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-06-30,2,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-07-02,1,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-07-07,1,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-07-08,1,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-07-09,1,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-07-10,2,0
GRANDE FLORIANOPOLIS,ALFREDO WAGNER,2020-07-13,3,0
